text,target,char_len,word_count
"President Ayyab Khan, Mohtarma Fatima Jinnah, baaz dosri shakhsiyat ki tasaweer to beshumaar trucks ke aqbii hisson par bani nazar aati hain, Lekin Attaullah Esakhelvi mulk ke wo wahid artist hain jin se wabistegi ka izhaar buses aur trucks ke piche tasweer banwa kar bhi kiya jata hai",Positive,238,48
She played a fantastic role in the drama serial “ Aangan Terha ” with Shakeel Siddiqui and Saleem Nasir ( Late ),Positive,91,22
Bushra ansari received many more different prizes and awards in her life,Positive,61,12
She received an award of Pride of performance and Women life achievement award from Benazir Bhutto,Positive,83,16
Bushra ansari performed interesting role in the film “Abhi To Main Jawan Hon” from Geo TV,Positive,74,16
"Yeh beyk waqt actress, singer, host, comedian and drama nigaar ke taur par pehchani jati hain",Positive,78,16
"sanjeeda acting, comedy, parody, singing, hosting aur ab drama nigari",Positive,60,10
Intehai masroof aur mashoor fankara hone ke bawajood inho ne aik biwi aur maa ka role pori zimmedari se adaa kiya,Positive,93,21
Bushra apni family se bohat ziyada attached hain aur fursat ka tamam waqt ghar walon ke sath he guzarti hain,Positive,89,20
"Career : Bushra Ansari sirf 9 saal ki umer mein he PTV ke children music show, Kalbon ki Mala ki regular performer ban gai thin",Positive,103,25
 To Farooq Qiaser ne inhe apne show Kalliyan ke liye muntakhib kiya,Positive,55,13
Is ke ilawa wo show ke deegar roles ke liye bhi songs gaya karti thin,Positive,55,15
"Bunyadi taur par yeh bahon ka show tha, lekin ise har umar ke nazreen barhe shauq se dekha karte the",Positive,81,20
Bushra ne sab se pehle Iqbal Ansari ke aik drama mein acting ke johar dikhaey,Positive,63,15
Lekin Bushra ko sab se ziyada shohrat Anwar Maqsood ke show Shosha se mili,Positive,61,14
Yeh character itna popular hua ke jab kabhi Bushra Ansari kisi show ke silsile mein beyron e mulk jati to in se bijli ka character karne ki farmaiysh ki jati,Positive,128,30
"Bushra Ansari ka aik aur aeham show Aangan Terha hai, jise Anwar Maqsood ne likha aur us mein inho ne Shakeel Siddiqui aur Saleem Nasir Marhoom ke hamrah yadgar performance di",Positive,145,31
Comedy shows ki bat ho to sab se pehle PTV ki tareekh ke maqbool tareen show Fifty Fifty ka naam zehan mein aata hai,Positive,93,24
is show ko maqboliyat ki bulandiyon tak pohnchane mein Jahan Ismail Tara aur Majid Jahangir ki lajawab performance ka dakhal tha to Bushra Ansari ne bhi apni parodies ke zariye is show ko kamiyab banane mein koi kasar na chori,Positive,187,40
inho ne chehre ke tasurrat aur body language ke zariye in roles mein jaan daal di,Positive,66,16
"Bushra Ansari ne har umer ke role adaa kiye hain, jin mein young, udherh aur old age sab he shamil hain",Positive,83,21
"Personality : Bushra Ansari ko sirf acting mein he malka hasil nahi, bal key eh aik shandar shakhsiyat ki bhi malik hain",Positive,99,22
Yeh guzishta 40 saal se mini screen par apni salahiyaton ke johar dikha rahi hain aur din ba din in ke har sitaron ki tadad mein izafa hota ja raha hai,Positive,121,31
kyun ke wo janti hain ke waqt ke sath sath apne kaam mein kya tabdeeli lai ja sakti hai,Positive,69,19
"dilchasp harkaat, dilkash personality aur khobsurat chehre ki malik Bushra Ansari har umar ke nazreen mein popular hain",Positive,102,18
Chand maah qabal inho ne Geo TV ke show Dolly ki Aaegi Baraat mein Saima Chaudhry ka role play kar ke is serial ko mazeed dilchasp bana diya,Positive,113,28
HAahah...han zroor....yar mjhe acha lgta jb yeh ese post krte,Positive,52,10
"Pskistani jawano, lagatay raho imran khan k doz. aik din number one per aa jAo gay
Tabdeeli",Positive,76,16
Saas bahu ka rishta Nawaz Sharif r mamnoon Hussain ko bhi peeche chore de 😂😂😂,Positive,63,15
"Apnay kharchay khudd uthaa saknay wali independent aurat ko, jo bghair kisi py depend kiye aur bghair kisi ki faaltu bakwaas sunay, (k g mein tou boht azeem aadmi hun k o biwi, tumhara kharcha uthaa rha hun) izzat k sath zindagi guzaar rhi ho, ussay kehtay hain kaamyaab aurat.",Positive,228,50
Meri nazr me kamyab orath wo he Jo khud mehnat or himmat kr k apna career bnaye or peso k lie kisi mrd ki mohtaj na ho.,Positive,93,27
...talaash jaari rakhein aap aik din kamyaab aurat banein gi..😂😂😂,Positive,56,10
Inshallah hum dono kaamyaab rhen apne naik iraadon mein😂😂😍..tune tou shiad dhond liya😂😂🤔ya abhi bhi talaash jaari😂😑,Positive,99,17
Oooppss to phle bolti na dash mjhe lga Meri pysri dost mere liye soch rhi hai 😂🤣 chal tu rakh Lena😁,Positive,79,21
kamiyab aurat bnna chahti hun meri sadgi dikh mai kya chahti hun 😂😂,Positive,55,13
Mai khud kamyab bnna chahti ho samw khwab hai hmare yad nae tme😂,Positive,52,13
Meri jesi kamiyabiyan na karna tum log... go for a mzeed rich bitch!! ✌🏻,Positive,59,14
Hahaha  kal ki debate k baad kamyab aurat ka award aap ko jata hai,Positive,52,15
wo kya hai k meiny apny kharchy mukhtasir krny ka soch liya hai🤣,Positive,52,13
Jab dono khameeyab Haan tou Bari kushe ki bat ha jasy men khmeeyab mard,Positive,58,14
Although ham nay apny kharchay kam kr liay han hahahahahahah,Positive,51,10
Haha pgl choty bhaie wali zyada faidy m hoty sb set hoa va milta jithani g 😂,Positive,60,17
"Har pal har dum azam hmara
Sb sy perfct jo vo shakhs hmara😂😂😂😂",Positive,51,12
koi issue nai bhale mera cup use karen 🤣 beta meri bottle b har koi use karta hai,Positive,64,18
hahahhaahaha me to kahin sa b maesna ni lgta .tumhain pta ni kaisay lgta,Positive,59,14
Saif tumhry kapry nusrat api pehan sakti hain...nhi na... tu phir...,Positive,58,11
nhe tum itna taradud na kro bus aj ka mera bill tumhari taraf sa ma na sasta ma maaf kea😎,Positive,70,20
hum girls hn isliye judge kr skti hn but as a psychologist nhe kr sktien...ajeeb bat h😂😂 mem ko btaen gy hum kr skti hn judge bcoz we r girls😈😝,Positive,114,30
Hahhahaha kesy hm apny points ko defend krty hy use hm BBA krny k bad bhi lawyer bn skty hy 🤣🤣🤣🤣🤣,Positive,77,21
Or check kr hamari predictions almost such b niklti then :D hahaha,Positive,55,12
Hehehehe wo b spcl logn koo judge kia jataa naa meshhhhiii proud to b spcl one😂😂😂😂,Positive,67,16
"Jaani grand party hogi I am overexicted for your day😎😂❤
 Tu lagdi Lahore ki cause Tera Mohn chetaa hath kalay💁😂",Positive,92,20
Hahahah hawn kh dn gii😂 tm b mera taraf sy uncle aunty ko shukriya kh do😁,Positive,58,16
Jizroor ..... Mei apne aunty  ka dilse Shukriya Ada krti huu 😂😂😂😂,Positive,53,13
Mera to Salam bol pair chhuuuh anti ne mjhe Jo btya tha hahahahahahahahaha,Positive,62,13
Uncle anti ko dill ke gahriyoen sa thanks bolna mere traf sa 😍😂😂😂,Positive,53,13
Hahahah ok ok Aur meri taraf say be uncle aunty ko shukriya keh Dena 😂😛,Positive,57,15
shukriya bht bht aapke parents ka k mujhe yeh gift diya unho ney 🎁🎁,Positive,54,14
tmahari ammi abu ka shukrea tmhari birthday pe kea tha ada mene..  ab tmhari b aari birthday unka b krungi😚😚,Positive,88,21
apni mama ko zarur thanks keh dena from my side 😘😘😘 loveeee bohat cute ho tm,Positive,61,16
Hahahahaha bas bas is khushi Mai Kal dilpasnd ki meethai le aana,Positive,53,12
Hahah wai I owe a special thankyou party to uncle n aunty then 😜,Positive,51,14
Thank u mommy daddy 😂😂😂tu tau nawafil parh apne ami abu k liye #iykwim😆😉,Positive,59,14
Yeah cx they deserv .... akhir koi km karnama nae kia shukrany k nafanil ada krny hi chaheay 😜,Positive,76,19
Pemra complain ki hum kuch friends ne....sirf tension na lein practicaly khud kuch krne se hi ho ga,Positive,82,18
Bilkuk sahi kaha .faisal qureshi ka kush kadre bhater show ha .,Positive,52,12
ALLAHTAALA ! Ummat pe Reham Frmay..aor ye lodhi jesey khabees logon k sharre sey naai Nasal ko Apni hifaazat meyn rakhey..Aameen,Positive,108,21
Agr hm awaam he inlog ko ehmiyat dena or dekhna or feed back dena chordenge to ink shows ki koi value nahi rehegi,Positive,91,23
Hum sab ko milkar Pakistan aur islami aqdaar ki hifazat Karni hay musalmaan hony ka farz ada krein,Positive,81,18
Sahil Lodhi ka kya? Ma bap zimadar WO keu apni bchieo ko bhjty in ke ghart kidr hote,Positive,67,18
Ni ye galat bat h is me sahir lodhi ka koe qasor ni h t.v me achi baten b ati han wo to ap log catch ni krty??,Positive,83,28
Sare comments bilkul sahi hn m sb ki taed krti Hun aur sb k sath hun,Positive,53,16
Yar ajkl sakht pareshan hu rozgar ki fikr me bht acha lga parh k,Positive,51,14
#prime_Minster ki kursi chahye kitna #yaqeen_nazm_o_zabt or #lagan chahye hogi...!😂😂,Positive,75,10
"Allah ki raza mandi ke bagir koi cheez hasil nahi ki jasakti, chahe insan kitna hi yaqeen or nazmosabt ke saath hasil karne ki koshish karle......",Positive,121,26
dil ko sukoon deney wali tehreer kash aesa wagat dobara aa jaey,Positive,52,12
Same thing k Aik bunda Chauti burai ko Sahi samajh k kerta hay to Wo Bari burai ko Asan samajh leta hay. Bacho ko roshnash karana apnay tahafuz k lye Buri baat Nahi.,Positive,133,33
Jis nay asbiat ki taraf dawat di us nay zulm ki taraf dawat di yehi asbiat to pehlay east Pakistan ko kha gar ab baki ko kha rahi hai 😔,Positive,106,30
"Ap hongi, hum tou muhabbat bantnay walay hy, we beleieve in equal rights",Positive,60,13
Hidayat ki dua kije or roye aise logi par tv me dikhane se kuch nahi hoga agar aap rokne ki takat rakhti he to rokiye varna dil me bura janiye lekin uske gunaho ko kisi pe ujagar mat kariye Yeh Allah or bannde ka maam la he bas uske liye astag far kariya or meri bato ka bura laga ho to mujhe bhi maaf kijiye,Positive,244,65
Namaz qaim kro kiun k namaz behayai sy rokti hai.... islam mein hukam k sath reasoning bhi hai... bss aqal mand logo k liye he nishaniyan hai aur wohi samjhty hain inko,Positive,137,32
Aur islaam mein soor ka goosht khana haram hai...lehaza kiun k uss mein bht harmful steroids hty jo insaani jism ko sakht nuksaan pohnchaty... aur islaam mein hr wo cheez mana hai jiska insaan ko nuqsaan hai,Positive,171,37
PM NawazSharif Ki Nawasi Mehar u Nisa Safdar Aur Raheel Munir Ka Nikah Masjid Nabvi Mein Munaqid PM Samait Ahal e Khana Ki Shirkat ,Positive,107,25
Har Musalman Mard Aurat Ghulam Aazad Chotay Baray Par Namaz E EID Se Pehlay Sadqa E Fitr Dena Lazim Hai,Positive,84,20
Mullah Umar Ne Afghan Hukomat amp Taliban Muzakrat Ki Himayat Kar Di Afghanistan Se Qabzay K Khatmay K Liye Muzakrat Jaiz Hen Paigham ,Positive,111,24
Skin Saf Krny K Liye Honey Milk Or Dahi Mix Kijye Is Mixture Ko 15 Mint K Liye Skin Pr Laga Lijye Bad Mai Saf Pani Sy Dho Lijye ,Positive,99,30
ALLAH Ki Naimaton Main Sy 1 Naimat Hy Or Moqa Mily Or Bach Jana Yeh ,Positive,53,16
ATC Ne 23 March Ko Giriftar Honewale Zulficar Mirza K 11 Guard Ko Riha Karne Ka Hukum Dedia ,Positive,74,19
Islam Musalmano K Ilam Ka Naam Nhe Un K Amal Ka Naam Hy Yani Islam Bolny Wali Baat Nhe Karny Wala Kaam Hy ,Positive,83,24
14 Se 16 July Tak Karachi Janay Wali Trainon K Kirayon Me 50 Kami Khali Trainen Wapsi Per Senkron Musafiron Ko Lati Hen ,Positive,97,24
Subai Hakumat Ne Chand Raat Per Hawai Firing Karne Per Pabandi Aid Kr Di ,Positive,59,15
Nishaniyan Ka Pani Metha Hojana Na Ziada Sardi KhuLa Huwa Shu a K TuLu Hona ,Positive,61,16
Masjid Qab a Is The First Mosque Where Mohammad SAW Openly Led The Regular Prayer Congregation Of His Companions ,Positive,94,20
Islamabad K Baldiyati Intakhabat Jamati Buniyad Per Kraney Ka Bill Senate Me Kasrat e Rae Se Manzur ,Positive,83,18
Incharge Officer Slaughter House Dr Ghafoor Mengal Ki Nigrani Me Govt Slaughter House Me Bemar Janwaron K Gosht Ko Jalae Gaye ,Positive,105,22
Jo Shakhs ALLAH K Liye 1 Din Aitikaf Karta Hy ALLAH Isko Jahanum Se Zamin Asman K Barabar 3 Guna Door Kar Deta Hy ,Positive,90,25
Subai Assembliyon Ki 2 Sala Karkardagi Me Khyber Pakhtunkhwa Assembly 44 Score K Sath Behtreen Qarar Survey ,Positive,91,18
Last night in Dono Marches ko mila kar supporters ki total tadad 40000 tak banti hy Eye witnesses ,Positive,80,19
Ghussay mei Such bolna aur Taqat k hotay huay muaf karna Afzal tareen naikiyon me se h ,Positive,70,18
Fehmiyaan Or Bhi Barh Gayn khushqismati smajhi jati hay jab ghar ka gate junoob ki taraf ho ,Positive,75,18
balke khusi is baat ki hai k Misbah chakka maratay waqt gira nhi ,Positive,52,14
Ammi Pochti Hain Khane Mein Kya Doon To Mein Kehta Hoon EXTRA SHEET plz,Positive,58,14
Dobara Muslim League Q Punjab Kay Bila Muqabla Saddar Muntakhib ,Positive,54,11
20 Nov 1828 ko Kahira Misar me Mohammad Ali Pasha ki nigrani me publish hwa ,Positive,61,16
Nadan Itna Nahi Samjhi Ishq Chahre Se Nahi Nazron Se Shuru Hota Ha ,Positive,54,14
K Din Namaz K Liye Azaan Di Jaey To Tum ALLAH K Zikar Ki Taraf Daor Kar Aao ,Positive,58,19
Kr Lo Mhbt Rasul e Pak SAWW se QK Akhrat Me Un K Siwa Koi Hamara Na Hoga ,Positive,55,19
ALLAH pak ham sb k dilon ko AAQA HUZOOR SAWW k ishq se munawar krdy ,Positive,53,16
Mai Apnay Nabi S A W W se Mhbt Q na karu k Un se Haseen to janat b Nhi ,Positive,51,21
Kon kehta hy guzra waqt wapis nai ata Or sb khte hen Ktna Nurani Chehra hy ,Positive,59,17
Karachi K Badalte Hue Halaat Or Nit Nayi Faida Mand Offers Se Bakhabar Rahiye Bilkul Free ,Positive,74,17
Aaj Bhi Shehar Me Target Killing Ka Koi Waqia Pesh Nahi Aaya ALLAH Aman Ko Dawam Bakhshay Aameen ,Positive,79,19
Karachi K Badalte Hue Halaat Or Nit Nayi Faida Mand Offers Se Bakhabar Rahiye Bilkul Free ,Positive,74,17
Karachi Press Club Per Mukhtalif Jamato Or Nine Zero Per MQM Ki Janib Se Sindhi Topi Or Ajrak Day Manaya Gaya ,Positive,89,22
Aaj Bhi Shehar Me Target Killing Ka Koi Waqia Pesh Nahi Aaya ALLAH Aman Ko Dawam Bakhshay Aameen ,Positive,79,19
Baldyati Elections Me Polling Ka Silsila Jaari Awam Me Josh o Kharosh ,Positive,58,13
CityNews021 Ki Janib Se Kamyab Security Iqdamat Per Police Rangers Ko Khiraj e Tehseen,Positive,73,14
5 Dec Ko Baldyati Elections K Mauqay Per Karachi Me Loadshedding Nahi Ki Jaigi ,Positive,65,15
Aaj Shehar Me Target Killing Ka Koi Bhi Waqia Pesh Nahi Aaya ALLAH Aman Ko Dawam Bakhshay Aameen ,Positive,79,19
Azad Umeedwar Sameer Qureshi Symbol Hanger Ko Vote De Ker Khidmat Ka Mauqa Dein ,Positive,66,15
Dist Korangi UC 12 Green Town Ward 4 Abdul Mabood Majid Sheikh Azad Umedwar Intkhabi Nishan Bijli ka Heater Ko Vote Dein,Positive,99,22
5 December Ko Karachi K Awam Taliban K Hamiyo Ko Mustarad Ker Den Ge Hyder Abbas Rizvi MQM ,Positive,73,19
Aaj Bhi Shehar Me Target Killing Ka Koi Waqia Pesh Nahi Aaya ALLAH Aman Ko Dawam Bakhshay Aameen ,Positive,79,19
Azad Umeedwar Sameer Qureshi Symbol Hanger Ko Vote De Ker Khidmat Ka Mauqa Dein ,Positive,66,15
Adaalati Pabandi K Pesh e Nazar Security Idaro Ne Altaf Hussain Ki Tasveer Walay Boards Utaar Diye ,Positive,82,18
Wukla Gawaho Or Ehlkaro K Qatilo Or Sahulatkaro Ko Girftar Kia Jaiga,Positive,57,12
Kamyab Security Intizamat Per Rangers Police Or Intizamia Ko Mubarakbad ,Positive,62,11
Karachi Ki Prime Location Per Mobile ka Karobar Kerne ka Nadir Moqa ,Positive,56,13
Bank Me Daketi K Doran Guard Ki Firing Se 1 Dakait Halak Shanakht Nahe Hosaki Jinnah Hosp Shift Rpt Maqsood Alam ,Positive,92,22
Gharelo Cylinder 100 Or Commercial Cylinder 400 Rupay Sasta Hogaya ,Positive,57,11
Mein Sirf 50 Payment Pr Shop K Malik Banye Baqaya Kama K Ada Kijea ,Positive,53,15
PIA Ka Maah e Ramzan K Doraan Andron e Mulk Parwazon K Kirayon Me 20 Feesad Kami Ka Elaan,Positive,71,19
Sadar Bruns Road Old City Area Samet Kayi Elaaqo Me 3 Bajay Se He Samosay Pakoray Bikna Shuru,Positive,76,18
Pak Fouj K Shohdaa K Lawahiqeen K Lye Sindh Me 9600 Acre Zameen Denay Ka Faisla ,Positive,64,17
Sabiqa Ummaton Ki Tarah Tum Per Bhi Rozay Farz Kiye Gaye Hain Takay Tum Mut taqi Ban Jao ,Positive,71,19
Jo Shakhs ALLAH Aur Qayamat Per Eman Rakhta Ho Usay Chahiye K Achi Baat Karay Parosi Or Mehman Ka Ikram Karay ,Positive,89,22
Insaaf Karo Ye Taqwa K Qareeb Tar Hai Aur ALLAH Se Daro Bay Shak ALLAH Har Cheez Se Baa Khabar Hai ,Positive,78,22
Tum Me Se Koi Us Waqat Tak Momin Nahi Hoga Jb Tk Apni Pasandidah Cheez Ko Apnay Bhai K Liye Bhi Pasand Na Karay ,Positive,88,25
Jab Quran Parha Jaye Tau Khamosh Ho Kar Pori Tawajjah Se Suno Takay Tum Per Raham Kiya Jaye ,Positive,74,19
Jannat K 8 Darwazon Me Se 1 Darwazay Ka Naam Rayyan Hai Jis Se Siraf Roza Daar Hi Dakhil Ho Saken Gay ,Positive,80,23
ALLAH Salamti K Ghar Ki Taraf Bulata Hai Aur Jisay Chahay Seedhay Raastay Ki Taraf Hidayat Deta Hai ,Positive,82,19
ALLAH Ki Bandagi Karo Gharibon Ko Khana Khilaao Aur Salam Ko Aam Karo Jannat Me Salamti K Sath Dakhil Ho Gay ,Positive,88,22
Din K Duno Aur Raat K Kuch Hisson Me Namaz Qaim Karo Yaqeenan Nekiyaan Buraiyon Ko Mita Deti Hain ,Positive,79,20
Roz Subah 2 Farishtay Utartay Hain Un Me Se Aik Sakhi K Liye Dua ,Positive,51,15
Meray Bandon Ko Bata Do K Main Bakhashnay Wala Aur Meharban Hun ,Positive,52,13
Kisi Miskeen Ko Sadqa Dena 1 Sawab Aur Rishtay Daar Ko Sadqa Dena 2 Sawab Hai Aik Sadqa Ka Dosra Sila Rahmi Ka ,Positive,88,24
Tum Sab Mil Kar ALLAH K Samnay Tauba Karo Takay Tumhen Falaah Aur Kamyabi Naseeb Ho ,Positive,68,17
Tum Meray Dunya Me Ghaar K Sathi Aur Aakhrat Me Houz e Kausar K Bhi Sathi Aur Rafiq Ho Gay ,Positive,71,21
Rahman K Banday Aajzi Se Chaltay Jahilon Se Salamti Ki Baat Kehtay Aur Raat Ko Ebadat Kartay Hain ,Positive,80,19
ALLAH Majboor o Bay Kas Ki Pukaar Sunta Un Ki Takleef Ko Dor Karta Aur Un Ko Apna Naib Banata Hai ,Positive,77,22
Shehar Me Aaj Target Killing Ka Koi Bhi Waqia Pesh Nahi Aaya ALLAH Aman Ko Dawam Bakhshay Aameen,Positive,79,18
ALLAH Aur Farishtay Nabi Per Durood Bhejhtay Hain Momino Tum Bhi Un Per Durood o Salam Bhejo ,Positive,76,18
ALLAH Ki Shaan Ye Hai K Jab Wo Kisi Cheez Ka Irada Karta Hai Tau Kehta Hai Ho Ja Tau Wo Hojati Hai ,Positive,76,24
Hafeez Ki 4 Wkts Or Shandar Century Ki Badolat Pakistan Ne 256 Ka Hadaf 4 Wickets Per Hasil Ker Lia ,Positive,80,21
Aey ALLAH Muavia Ko Logon K Liye Zariya e Hidayat Khud Hidayat Yaafta Aur Un Se Hidayat Ka Kaam Bhi Lijiye ,Positive,86,22
Jinho Ne Apni Jaano Per Zulum Kiya Woh ALLAH Ki Rehmat Se Maysu Na Ho ALLAH Sb Gunah Maf Krta Hai ,Positive,77,22
Meray Sahaba R A Sitaaron Ki Manind Hain Un Me Se Tum Jis Ki Bhi Pairwi Karo Gay Tau Hidayat Paao Gay ,Positive,80,23
ALLAH Jisay Chahta Hai Qurb K Liye Chunta Hai Aur Apni Taraf Ruju Karnay Walon Ko Hidayat Deta Hai ,Positive,80,20
Eid Ki Khushi Me Cng Stations 15 July Ko Khulenge Or 22 July Tak Cng Stations Bund Nahe Honge,Positive,75,19
Momin Bhai Bhai Hain Apnay Bhaiyon K Darmiyan Sulah Karao ALLAH Se Daro Takay Raham Kiya Jaye ,Positive,77,18
Aaj Ki Shab Milnay Walay Watan Pakistan Ki Salamati K Lye Duaao Ki Appeal ,Positive,60,15
Hum Ne Quran Ko Samajhnay K Liye Aasan Kar Diya Phir Koi Hai Sochnay Or Naseehat Hasil Karnay Wala ,Positive,80,20
JoTumhen Rasool Den Wo Lay Lo Aur Jis Cheez Se Tumhen Mana Karen Us Se Tum Baaz Raho ALLAH Se Daro ,Positive,78,22
Jo Shakhs Ramzan K Rozon K Baad Shawwal K 6 Rozay Bhi Rakhay Tau Wo Hamesha Roza Rakhnay Walay K Manind Hoga ,Positive,87,23
Meri Meray Waliden Ki Meray Ghar Walon Ki Aur Momin Mardon Khawateen Ki Maghfirat Farma ,Positive,73,16
Ramzan Ki Aakhri Raat Me Pori Ummat K Aamaal Karnay Walon Ki Maghfirat Aur Bakhshish Ka Faisla Kia Jata Hai ,Positive,88,21
Bangal Se Aanay Wala Barish Ka System Kal Sunday Pakistan Me Dakhil Hoga Karachi Me 120mm Barish Ka Imkan ,Positive,87,20
Petrol Ki Qeemat Me 1 Rupay 3 Paise Or Deisel Ki Qeemat Me 2 Rupay 6 Paise Fee Litre Kami Ka Elan ,Positive,76,23
